                    * c:\users\hp\esim-workspace\pll\pll.cir
                    Transient Analysis  Thu Oct 06 15:40:50  2022
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	1.010000e-12	-3.89786e-05	-2.84144e-07	
1	1.000000e-13	-4.33920e+00	-3.86333e-05	1.918654e+00	
2	2.000000e-13	-4.31950e+00	-3.80161e-05	1.907303e+00	
3	4.000000e-13	-4.24024e+00	-3.63507e-05	1.856619e+00	
4	8.000000e-13	-4.17128e+00	-3.12733e-05	1.810933e+00	
5	1.600000e-12	-3.95654e+00	-1.77290e-05	1.676635e+00	
6	2.583691e-12	-3.79207e+00	3.087784e-06	1.573880e+00	
7	4.551072e-12	-3.45444e+00	6.390639e-05	1.362790e+00	
8	6.900368e-12	-3.22519e+00	1.763746e-04	1.205101e+00	
9	1.000000e-11	-3.26089e+00	4.591632e-04	1.288314e+00	
10	1.037092e-11	-5.68318e-01	4.966876e-04	3.131850e-01	
11	1.111277e-11	-5.35499e-01	5.696170e-04	2.821245e-01	
12	1.259646e-11	-4.88678e-01	7.070446e-04	2.375748e-01	
13	1.422791e-11	-4.37690e-01	8.494887e-04	1.876281e-01	
14	1.585083e-11	-4.07439e-01	9.844033e-04	1.590496e-01	
15	1.909667e-11	-3.55934e-01	1.243393e-03	1.094152e-01	
16	2.558836e-11	-2.99928e-01	1.739523e-03	5.728604e-02	
17	3.558836e-11	-2.40149e-01	2.475401e-03	1.478559e-03	
18	4.558836e-11	-2.08083e-01	3.187896e-03	-2.58533e-02	
19	5.558836e-11	-1.84811e-01	3.873268e-03	-4.37160e-02	
20	6.558836e-11	-1.75109e-01	4.514140e-03	-4.41431e-02	
21	7.558836e-11	-1.63817e-01	5.078321e-03	-4.27965e-02	
22	8.558836e-11	-1.59532e-01	5.530141e-03	-3.02958e-02	
23	9.558836e-11	-1.50992e-01	5.850878e-03	-2.18262e-02	
